name,danceability,year
Senjutsu,0.347,2021
Stratego,0.473,2021
The Writing On The Wall,0.402,2021
Lost In A Lost World,0.251,2021
Days Of Future Past,0.433,2021
The Time Machine,0.297,2021
Darkest Hour,0.222,2021
Death Of The Celts,0.291,2021
The Parchment,0.149,2021
Hell On Earth,0.298,2021
If Eternity Should Fail,0.291,2015
Speed of Light,0.176,2015
The Great Unknown,0.211,2015
The Red and the Black,0.275,2015
When the River Runs Deep,0.271,2015
The Book of Souls,0.198,2015
Death or Glory,0.181,2015
Shadows of the Valley,0.231,2015
Tears of a Clown,0.311,2015
The Man of Sorrows,0.441,2015
Empire of the Clouds,0.249,2015
Satellite 15,0.265,2010
El Dorado,0.265,2010
Mother Of Mercy,0.309,2010
Coming Home,0.332,2010
The Alchemist,0.341,2010
Isle Of Avalon,0.291,2010
Starblind,0.197,2010
The Talisman,0.216,2010
The Man Who Would Be King,0.212,2010
When The Wild Wind Blows,0.305,2010
Different World,0.406,2006
These Colours Don't Run,0.317,2006
Brighter Than a Thousand Suns,0.294,2006
The Pilgrim,0.308,2006
The Longest Day,0.259,2006
Out of the Shadows,0.213,2006
The Reincarnation of Benjamin Breeg,0.353,2006
For the Greater Good of God,0.316,2006
Lord of Light,0.281,2006
The Legacy,0.328,2006
Wildest Dreams,0.302,2003
Rainmaker,0.35,2003
No More Lies,0.176,2003
Montségur,0.285,2003
Dance of Death,0.311,2003
Gates of Tomorrow,0.245,2003
New Frontier,0.316,2003
Paschendale,0.168,2003
Face in the Sand,0.272,2003
Age of Innocence,0.213,2003
Journeyman,0.188,2003
The Wicker Man,0.424,2000
Ghost of the Navigator,0.282,2000
Brave New World,0.353,2000
Blood Brothers,0.243,2000
The Mercenary,0.266,2000
Dream of Mirrors,0.295,2000
The Fallen Angel,0.274,2000
The Nomad,0.338,2000
Out of the Silent Planet,0.209,2000
The Thin Line Between Love and Hate,0.236,2000
Futureal,0.398,1998
The Angel and the Gambler,0.311,1998
Lightning Strikes Twice,0.219,1998
The Clansman,0.257,1998
When Two Worlds Collide,0.267,1998
The Educated Fool,0.358,1998
Don't Look to the Eyes of a Stranger,0.351,1998
Como Estais Amigos,0.172,1998
Sign of the Cross,0.348,1995
Lord of the Flies,0.305,1995
Man on the Edge,0.377,1995
Fortunes of War,0.363,1995
Look for the Truth,0.363,1995
The Aftermath,0.392,1995
Judgement of Heaven,0.328,1995
Blood on the World's Hands,0.366,1995
The Edge of Darkness,0.376,1995
2 AM,0.319,1995
The Unbeliever,0.399,1995
Be Quick or Be Dead,0.319,1992
From Here to Eternity,0.288,1992
Afraid to Shoot Strangers,0.279,1992
Fear Is the Key,0.359,1992
Childhood's End,0.269,1992
Wasting Love,0.324,1992
The Fugitive,0.311,1992
Chains of Misery,0.305,1992
The Apparition,0.592,1992
Judas Be My Guide,0.261,1992
Weekend Warrior,0.359,1992
Fear of the Dark,0.308,1992
Tailgunner,0.373,1990
Holy Smoke,0.243,1990
No Prayer for the Dying,0.272,1990
Public Enema Number One,0.166,1990
Fates Warning,0.262,1990
The Assassin,0.272,1990
Run Silent Run Deep,0.324,1990
Hooks in You,0.186,1990
Bring Your Daughter... to the Slaughter,0.281,1990
Mother Russia,0.296,1990
Moonchild,0.266,1988
Infinite Dreams,0.196,1988
Can I Play with Madness,0.313,1988
The Evil That Men Do,0.255,1988
Seventh Son of a Seventh Son,0.243,1988
The Prophecy,0.264,1988
The Clairvoyant,0.374,1988
Only the Good Die Young,0.18,1988
Caught Somewhere in Time,0.238,1986
Wasted Years,0.314,1986
Sea of Madness,0.328,1986
Heaven Can Wait,0.302,1986
The Loneliness of the Long Distance Runner,0.189,1986
Stranger in a Strange Land,0.286,1986
Deja Vu,0.208,1986
Alexander the Great (356-323 B.C.),0.454,1986
Aces High,0.3,1984
2 Minutes to Midnight,0.446,1984
Losfer Words (Big 'Orra),0.354,1984
Flash of the Blade,0.392,1984
The Duellists,0.345,1984
Back in the Village,0.347,1984
Powerslave,0.3,1984
Rime of the Ancient Mariner,0.39,1984
Where Eagles Dare,0.407,1983
Revelations,0.304,1983
Flight of Icarus,0.368,1983
Die with Your Boots On,0.245,1983
The Trooper,0.285,1983
Still Life,0.241,1983
Quest for Fire,0.371,1983
Sun and Steel,0.295,1983
To Tame a Land,0.233,1983
Invaders,0.439,1982
Children of the Damned,0.286,1982
The Prisoner,0.306,1982
22 Acacia Avenue,0.305,1982
The Number of the Beast,0.409,1982
Run to the Hills,0.249,1982
Gangland,0.277,1982
Hallowed Be Thy Name,0.313,1982
The Ides of March,0.296,1981
Wrathchild,0.438,1981
Murders in the Rue Morgue,0.272,1981
Another Life,0.201,1981
Genghis Khan,0.291,1981
Innocent Exile,0.257,1981
Killers,0.219,1981
Prodigal Son,0.3,1981
Purgatory,0.29,1981
Drifter,0.34,1981
Prowler,0.295,1980
Remember Tomorrow,0.264,1980
Running Free,0.478,1980
Phantom of the Opera,0.319,1980
Transylvania,0.221,1980
Strange World,0.36,1980
Charlotte the Harlot,0.358,1980
Iron Maiden,0.322,1980
