name,valence
Senjutsu,0.466
Stratego,0.465
The Writing On The Wall,0.566
Lost In A Lost World,0.206
Days Of Future Past,0.476
The Time Machine,0.316
Darkest Hour,0.162
Death Of The Celts,0.26
The Parchment,0.212
Hell On Earth,0.0628
If Eternity Should Fail,0.149
Speed of Light,0.334
The Great Unknown,0.0702
The Red and the Black,0.377
When the River Runs Deep,0.393
The Book of Souls,0.359
Death or Glory,0.316
Shadows of the Valley,0.284
Tears of a Clown,0.503
The Man of Sorrows,0.291
Empire of the Clouds,0.19
Satellite 15,0.435
El Dorado,0.436
Mother Of Mercy,0.364
Coming Home,0.467
The Alchemist,0.64
Isle Of Avalon,0.0739
Starblind,0.217
The Talisman,0.16
The Man Who Would Be King,0.273
When The Wild Wind Blows,0.228
Different World,0.602
These Colours Don't Run,0.228
Brighter Than a Thousand Suns,0.266
The Pilgrim,0.541
The Longest Day,0.337
Out of the Shadows,0.288
The Reincarnation of Benjamin Breeg,0.144
For the Greater Good of God,0.3
Lord of Light,0.0485
The Legacy,0.15
Wildest Dreams,0.57
Rainmaker,0.539
No More Lies,0.214
Montségur,0.215
Dance of Death,0.296
Gates of Tomorrow,0.336
New Frontier,0.521
Paschendale,0.188
Face in the Sand,0.214
Age of Innocence,0.239
Journeyman,0.308
The Wicker Man,0.296
Ghost of the Navigator,0.36
Brave New World,0.355
Blood Brothers,0.444
The Mercenary,0.512
Dream of Mirrors,0.35
The Fallen Angel,0.319
The Nomad,0.404
Out of the Silent Planet,0.335
The Thin Line Between Love and Hate,0.312
Futureal,0.706
The Angel and the Gambler,0.376
Lightning Strikes Twice,0.385
The Clansman,0.177
When Two Worlds Collide,0.346
The Educated Fool,0.244
Don't Look to the Eyes of a Stranger,0.473
Como Estais Amigos,0.148
Sign of the Cross,0.0903
Lord of the Flies,0.331
Man on the Edge,0.168
Fortunes of War,0.256
Look for the Truth,0.093
The Aftermath,0.224
Judgement of Heaven,0.462
Blood on the World's Hands,0.379
The Edge of Darkness,0.123
2 AM,0.187
The Unbeliever,0.427
Be Quick or Be Dead,0.624
From Here to Eternity,0.498
Afraid to Shoot Strangers,0.366
Fear Is the Key,0.52
Childhood's End,0.328
Wasting Love,0.29
The Fugitive,0.578
Chains of Misery,0.382
The Apparition,0.693
Judas Be My Guide,0.51
Weekend Warrior,0.759
Fear of the Dark,0.227
Tailgunner,0.577
Holy Smoke,0.474
No Prayer for the Dying,0.583
Public Enema Number One,0.6
Fates Warning,0.139
The Assassin,0.599
Run Silent Run Deep,0.406
Hooks in You,0.544
Bring Your Daughter... to the Slaughter,0.532
Mother Russia,0.39
Moonchild,0.244
Infinite Dreams,0.659
Can I Play with Madness,0.631
The Evil That Men Do,0.31
Seventh Son of a Seventh Son,0.0948
The Prophecy,0.21
The Clairvoyant,0.467
Only the Good Die Young,0.275
Caught Somewhere in Time,0.343
Wasted Years,0.492
Sea of Madness,0.276
Heaven Can Wait,0.476
The Loneliness of the Long Distance Runner,0.447
Stranger in a Strange Land,0.514
Deja Vu,0.563
Alexander the Great (356-323 B.C.),0.288
Aces High,0.756
2 Minutes to Midnight,0.595
Losfer Words (Big 'Orra),0.579
Flash of the Blade,0.653
The Duellists,0.633
Back in the Village,0.551
Powerslave,0.331
Rime of the Ancient Mariner,0.143
Where Eagles Dare,0.467
Revelations,0.438
Flight of Icarus,0.343
Die with Your Boots On,0.537
The Trooper,0.669
Still Life,0.173
Quest for Fire,0.583
Sun and Steel,0.643
To Tame a Land,0.229
Invaders,0.684
Children of the Damned,0.363
The Prisoner,0.617
22 Acacia Avenue,0.544
The Number of the Beast,0.268
Run to the Hills,0.458
Gangland,0.448
Hallowed Be Thy Name,0.3
The Ides of March,0.333
Wrathchild,0.782
Murders in the Rue Morgue,0.425
Another Life,0.666
Genghis Khan,0.557
Innocent Exile,0.652
Killers,0.395
Prodigal Son,0.317
Purgatory,0.531
Drifter,0.475
Prowler,0.32
Remember Tomorrow,0.548
Running Free,0.764
Phantom of the Opera,0.228
Transylvania,0.214
Strange World,0.194
Charlotte the Harlot,0.463
Iron Maiden,0.277
