name,album_name,year,valence
Lord of Light,A Matter of Life and Death,2006,0.0485
Hell On Earth,Senjutsu,2021,0.0628
The Great Unknown,The Book of Souls,2015,0.0702
Isle Of Avalon,The Final Frontier,2010,0.0739
Sign of the Cross,The X Factor,1995,0.0903
Look for the Truth,The X Factor,1995,0.093
Seventh Son of a Seventh Son,Seventh Son of a Seventh Son,1988,0.0948
The Edge of Darkness,The X Factor,1995,0.123
Fates Warning,No Prayer for the Dying,1990,0.139
Rime of the Ancient Mariner,Powerslave,1984,0.143
